ICAO24,Latitude,Longitude,Track,Altitude,Vitesse,Squawk,Radar_Feeder,Type_avion,Registration,Temps_UNIX,Depart,Arrivee,Num_IATA,On_ground,Vertical_Speed,Num_ICAO,Code_ICAO
C01759,65.4117,-159.4044,252,34000,481,6334,F-PAUN1,B77W,C-FIVW,1645968418,YYZ,ICN,AC7289,0,64,ACA7289,ACA
C02EE7,51.802,7.2004,303,36000,497,3556,F-EDWI1,B789,C-FRTU,1645968418,DOH,YYZ,AC59,0,-64,ACA59,ACA
C03064,48.8828,-118.4335,51,35000,523,2607,F-KSFF3,B38M,C-FSIL,1645968417,HNL,YYC,AC528,0,-64,ACA528,ACA
C01753,61.4263,-46.6343,256,34000,478,3565,F-BGBW1,B77W,C-FIVQ,1645968418,FRA,YYZ,AC843,0,0,ACA843,ACA
C023C5,44.5152,-166.9757,65,36000,583,0000,F-SAT5,B789,C-FNOE,1645968417,NRT,YVR,AC4,0,0,ACA004,ACA
C01C52,40.7742,-138.8478,47,39004,533,0000,F-SAT6,B789,C-FKSV,1645968421,OGG,YVR,AC536,0,0,ACA536,ACA
C038A7,43.6727,-79.6098,56,0,18,7062,F-CYYZ2,B789,C-FVLU,1645968413,YVR,YYZ,AC2044,1,0,ACA2044,ACA
C058BE,59.5579,-42.9223,251,40000,450,0000,T-F5M,B788,C-GHPT,1645968421,BRU,YUL,AC833,0,0,ACA833,ACA
C0174F,61.9439,-29.9064,258,35000,459,3156,F-BIKF1,B77W,C-FIVM,1645968421,FRA,YUL,AC845,0,0,ACA845,ACA
C066DD,43.6806,-79.6167,137,0,1,0610,F-CYYZ3,BCS3,C-GMYU,1645968403,YUL,YYZ,AC401,1,0,ACA401,ACA
C04FD7,59.926,-28.5914,277,38000,442,0000,F-EST,A333,C-GEGC,1645968421,AMS,YYZ,AC7223,0,0,ACA7223,ACA
C0104F,45.9827,156.2185,37,34992,568,0000,F-SAT5,B789,C-FGEO,1645968413,ICN,YYZ,AC62,0,0,ACA062,ACA
C038A3,39.9427,158.4572,52,38992,628,0000,F-SAT5,B789,C-FVLQ,1645968421,ICN,YVR,AC7280,0,0,ACA7280,ACA
C0173E,34.2426,126.4362,21,29000,512,4461,F-RKJJ2,B77W,C-FIUV,1645968420,PVG,ICN,AC7298,0,0,ACA7298,ACA
C058DD,59.0751,-39.1823,261,38000,470,0000,T-F5M,B788,C-GHQY,1645968421,DUB,YYZ,AC801,0,0,ACA801,ACA
